grid_id,key,route,time,type,Unnamed: 0,card,stage
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:15:00,subway_on,456861.0,ac6782f50a9b20554db68a0a5a993b18,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 07:56:49,subway_off,456861.0,ac6782f50a9b20554db68a0a5a993b18,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:11:30,subway_on,456910.0,557ea37eb708ba2fd5cc4b719fdd46cc,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 07:52:41,subway_off,456910.0,557ea37eb708ba2fd5cc4b719fdd46cc,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:16:20,subway_on,456913.0,3a7d5ded7c37586859531f3cedbd24f1,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:02:02,subway_off,456913.0,3a7d5ded7c37586859531f3cedbd24f1,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:46:50,subway_on,456936.0,b42da65596061768a05f98eb551aa347,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:37:49,subway_off,456936.0,b42da65596061768a05f98eb551aa347,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:56:34,subway_on,456990.0,2121990b1908d1e2862b92c7cf0c4630,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:44:27,subway_off,456990.0,2121990b1908d1e2862b92c7cf0c4630,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 06:59:26,subway_on,456992.0,6949fc812416e182670db87c4ed86013,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 07:41:46,subway_off,456992.0,6949fc812416e182670db87c4ed86013,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 08:03:24,subway_on,457018.0,71e1625773700b257c31e1b3bd3c8176,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:46:56,subway_off,457018.0,71e1625773700b257c31e1b3bd3c8176,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 08:04:24,subway_on,457025.0,dd1e073c6c135a77df168c7b0fe44b95,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:51:58,subway_off,457025.0,dd1e073c6c135a77df168c7b0fe44b95,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:14:44,subway_on,457027.0,9cffa7d3198197c42ce467a0880cae09,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:00:05,subway_off,457027.0,9cffa7d3198197c42ce467a0880cae09,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:43:20,subway_on,457047.0,4e360b3d6b4f2a7ead6e9cf1aa7f5838,0
1392,e1f04bd9880058107e2b77b92342a2e5,车公庙站,2016-09-26 08:30:24,subway_off,457047.0,4e360b3d6b4f2a7ead6e9cf1aa7f5838,1
1452,cbb639ab400b04e522cfc47584a3702f,清湖,2016-09-26 07:48:42,subway_on,457082.0,a6d0bc4778fc331407df6db1ffcf78ce,0
